Team,Wins,Losses,Season,Pitches,Zone%,Zone Swing,Zone Contact,Chase%,Chase Contact,Edge,1st Pitch Swing,Swing%,Whiff%,Meatball,Meatball Swing
Athletics,50,112,2023,"22,950",50.2,67.2,80.5,28.3,49.7,42.5,32.7,47.9,28.5,8.1,76.2
New York Yankees,82,80,2023,"23,541",49.3,65,81.1,27,53.9,42.4,29.6,45.8,27.1,7.6,75.6
Chicago White Sox,61,101,2023,"22,662",48.7,68.8,81.7,32.9,53.7,42.4,34.1,50.4,27.7,7.3,77
Kansas City Royals,56,106,2023,"23,106",49.1,69.2,81.6,30.6,55.2,42.4,32.7,49.6,26.7,7.5,79
Miami Marlins,84,78,2023,"23,088",49,66.2,83.3,30.2,58.7,42.4,30.9,47.8,24.6,7.4,75.2
Colorado Rockies,59,103,2023,"23,487",48.7,69.2,80.5,32.1,51.3,43,33,50.2,29.1,7.3,78.6
New York Mets,75,87,2023,"23,682",49.3,65.4,83.1,27.2,56.9,42.5,28.6,46,24.7,7.3,74.1
Detroit Tigers,78,84,2023,"23,976",49.5,67.7,81.8,29,54.8,42.1,29.9,48.2,26.4,7.5,74.8
Milwaukee Brewers,92,70,2023,"24,391",49.4,64.6,81.3,26.5,57,43.1,27.3,45.3,25.9,7.5,73.3
Washington Nationals,71,91,2023,"22,870",48.8,67.5,85.5,30.7,62.3,42.7,31.1,48.7,22,7.3,76.2
Pittsburgh Pirates,76,86,2023,"24,009",49.1,66.5,81.9,25.6,52.4,42.9,31.1,45.7,26.5,7.6,77.1
San Francisco Giants,79,83,2023,"23,907",49,67.7,81.4,27.1,54.1,43,32.4,47,26.6,7.6,77.2
Cleveland Guardians,76,86,2023,"23,310",49.3,68,85.1,31.7,63,42.9,29.8,49.6,22.1,7.5,75.9
Baltimore Orioles,101,61,2023,"24,038",48.5,67.1,83.1,29.9,57.6,43.1,29.8,47.9,25.1,7.4,75.8
Arizona Diamondbacks,84,78,2023,"23,784",49.9,64.5,85.2,26.6,58.3,43.7,27.4,45.5,22.6,7.6,73.9
Los Angeles Angels,73,89,2023,"23,849",48.7,70.7,79,29.9,52,42.8,36.9,49.8,29.3,7.1,80
Tampa Bay Rays,99,63,2023,"23,942",48,68.8,80.8,31.1,55.2,42.5,32.9,49.2,27.6,7.2,78.8
Boston Red Sox,78,84,2023,"24,251",49.6,65.6,82.3,28.7,59.9,43.2,26.8,47,24.5,7.5,74
San Diego Padres,82,80,2023,"24,573",49.8,63.3,83.5,25.8,58.5,43.4,28.1,44.4,23.8,7.6,73.6
Cincinnati Reds,82,80,2023,"24,440",49.7,64.3,81.7,26.1,54.6,42.7,27.6,45.1,26.2,7.9,75
Seattle Mariners,88,74,2023,"24,391",49,67.7,80.9,29.2,50.9,42.3,31.4,48.1,28.4,7.5,77
St. Louis Cardinals,71,91,2023,"23,924",48.5,65.7,82.7,28.3,59,42.7,29.7,46.4,24.8,7.5,76.1
Philadelphia Phillies,90,72,2023,"24,250",48,67.4,81.7,31.3,54.7,42.8,32.4,48.7,27.3,7.1,76
Minnesota Twins,87,75,2023,"24,568",48.3,66.5,80.3,28.3,52.3,42.1,31.9,46.8,28.4,7.2,74.7
Toronto Blue Jays,89,73,2023,"24,161",49.9,69.2,82.5,26,58.4,42.9,32.7,47.6,24.1,7.8,79.3
Chicago Cubs,83,79,2023,"24,790",49.9,66,81.7,26.9,59.3,43.1,28.7,46.4,24.8,7.4,75.8
Atlanta Braves,104,58,2023,"24,463",48.2,70.9,81.1,30,60.2,41.4,33,49.8,25.4,7.3,80.4
Houston Astros,90,72,2023,"23,820",48.1,67.7,84.5,30,58.8,41.6,33.7,48.1,23.8,7.2,76.8
Texas Rangers,90,72,2023,"24,733",49.1,69.4,83.3,25.5,55.3,42.8,33.5,47.1,24.4,7.5,78.6
Los Angeles Dodgers,100,62,2023,"24,989",48.9,68,82.3,26,56.2,42.9,30.7,46.5,25.1,7.4,79.5
