Name,Rk,Uni,Birth,Pitcher/Position,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
Steven Wilson,1,24,us US,Pitcher,30,R,R,"6' 4""",220,Aug 24 1994,2014,wilsost02
Alex Cook,2,,us US,Pitcher,24,R,R,"6' 2""",220,Mar 29 2001,2020,redirect.fcgi?player=1&mlb_ID=702047
Joe Rock,3,68,us US,Pitcher,24,L,L,"6' 6""",220,Jul 29 2000,2019,rockjo01
Ian Seymour,4,61,us US,Pitcher,26,L,L,"6' 0""",215,Dec 13 1998,2018,seymoia01
Kevin Kelly,5,49,us US,Pitcher,27,R,R,"6' 2""",195,Nov 28 1997,2017,kellyke02
Ryan Pepiot,6,44,us US,Pitcher,27,R,R,"6' 3""",210,Aug 21 1997,2017,pepiory01
Hunter Bigge,7,43,us US,Pitcher,27,R,R,"6' 0""",215,Jun 12 1998,2017,biggehu01
Yoendrys Gómez,8,94,ve VE,Pitcher,25,R,R,"6' 3""",212,Oct 15 1999,2017,gomezyo01
Joe Boyle,9,36,us US,Pitcher,25,R,R,"6' 8""",250,Aug 14 1999,2018,boylejo01
Edwin Uceta,10,63,do DO,Pitcher,27,R,R,"6' 0""",210,Jan 9 1998,2016,ucetaed01
Jesse Scholtens,11,65,us US,Pitcher,31,R,R,"6' 4""",240,Apr 6 1994,2013,scholje01
Mason Englert,12,59,us US,Pitcher,25,S,R,"6' 4""",205,Nov 1 1999,2021,englema01
Steven Matz,13,,us US,Pitcher,34,R,L,"6' 2""",205,May 29 1991,2012,matzst01
Shane McClanahan,14,18,us US,Pitcher,28,L,L,"6' 3""",210,Apr 28 1997,2017,mcclash01
Bryan Baker,15,47,us US,Pitcher,30,R,R,"6' 6""",235,Dec 2 1994,2014,bakerbr01
Drew Rasmussen,16,57,us US,Pitcher,29,R,R,"6' 1""",240,Jul 27 1995,2014,rasmudr01
Manuel Rodríguez,17,39,mx MX,Pitcher,28,R,R,"5' 11""",205,Aug 6 1996,2014,rodrima01
Cole Sulser,18,71,us US,Pitcher,35,R,R,"6' 0""",200,Mar 12 1990,2011,sulseco01
Garrett Cleavinger,19,60,us US,Pitcher,31,R,L,"6' 1""",225,Apr 23 1994,2013,cleavga01
Griffin Jax,20,22,us US,Pitcher,30,R,R,"6' 2""",195,Nov 22 1994,2014,jaxgr01
Dominic Keegan,21,,us US,Position,24,R,R,"6' 0""",210,Aug 1 2000,2018,redirect.fcgi?player=1&mlb_ID=681371
Ben Williamson,22,,us US,Position,24,R,R,"6' 0""",210,Nov 5 2000,2020,willibe03
Chandler Simpson,23,14,us US,Position,24,L,R,"5' 11""",170,Nov 18 2000,2019,simpsch01
Carson Williams,24,7,us US,Position,22,R,R,"6' 2""",180,Jun 25 2003,2021,willica02
Jadher Areinamo,25,,ve VE,Position,21,R,R,"5' 8""",160,Nov 28 2003,2021,redirect.fcgi?player=1&mlb_ID=699130
Jake Fraley,26,17,us US,Position,30,L,L,"5' 11""",206,May 25 1995,2014,fraleja01
Junior Caminero,27,13,do DO,Position,21,R,R,"6' 1""",220,Jul 5 2003,2021,caminju01
Jacob Melton,28,29,us US,Position,24,L,L,"6' 3""",208,Sep 7 2000,2019,meltoja01
Yandy Díaz,29,2,cu CU,Position,33,R,R,"6' 1""",235,Aug 8 1991,2008,diazya01
Víctor Mesa Jr.,30,,cu CU,Position,23,L,L,"5' 11""",195,Sep 8 2001,2019,mesavi01
Richie Palacios,31,1,us US,Position,28,L,R,"5' 9""",185,May 16 1997,2016,palacri01
Hunter Feduccia,32,30,us US,Position,28,L,R,"6' 1""",215,Jun 5 1997,2016,feduchu01
Jonny DeLuca,33,21,us US,Position,26,R,R,"5' 11""",195,Jul 10 1998,2017,delucjo01
Cedric Mullins,34,31,us US,Position,30,L,L,"5' 8""",175,Oct 1 1994,2015,mullice01
Taylor Walls,35,6,us US,Position,28,S,R,"5' 8""",185,Jul 10 1996,2015,wallsta01
Nick Fortes,36,40,us US,Position,28,R,R,"5' 11""",198,Nov 11 1996,2016,forteni01
Justyn-Henry Malloy,37,55,us US,Position,25,R,R,"6' 1""",212,Feb 19 2000,2018,malloju02
Ryan Vilade,38,,us US,Position,26,R,R,"6' 2""",226,Feb 18 1999,2017,viladry01
Gavin Lux,39,11,us US,Position,27,L,R,"5' 11""",190,Nov 23 1997,2016,luxga01
Jonathan Aranda,40,8,mx MX,Position,27,L,R,"6' 0""",215,May 23 1998,2016,arandjo01
Robert Garcia,1,62,us US,Pitcher,29,R,L,"6' 4""",236,Jun 14 1996,2016,garciro04
David Davalillo,2,,ve VE,Pitcher,22,R,R,"6' 1""",175,Sep 21 2002,2021,redirect.fcgi?player=1&mlb_ID=699314
Leandro Lopez,3,,do DO,Pitcher,23,R,R,"6' 1""",200,Jun 17 2002,2021,redirect.fcgi?player=1&mlb_ID=699214
Emiliano Teodo,4,82,do DO,Pitcher,24,R,R,"6' 1""",165,Feb 14 2001,2021,redirect.fcgi?player=1&mlb_ID=693713
Winston Santos,5,84,do DO,Pitcher,23,R,R,"6' 0""",160,Apr 15 2002,2021,redirect.fcgi?player=1&mlb_ID=692437
Jose Corniell,6,59,do DO,Pitcher,22,R,R,"6' 3""",165,Jun 22 2003,2021,cornijo01
Carter Baumler,7,,us US,Pitcher,23,R,R,"6' 2""",195,Jan 31 2002,2022,redirect.fcgi?player=1&mlb_ID=691945
Zak Kent,8,,us US,Pitcher,27,R,R,"6' 3""",208,Feb 24 1998,2017,kentza01
Marc Church,9,30,us US,Pitcher,24,R,R,"6' 3""",189,Mar 30 2001,2021,churcma01
Jack Leiter,10,35,us US,Pitcher,25,R,R,"6' 1""",205,Apr 21 2000,2020,leiteja01
Luis Curvelo,11,57,ve VE,Pitcher,24,R,R,"6' 1""",170,Oct 21 2000,2018,curvelu01
Kumar Rocker,12,80,us US,Pitcher,25,R,R,"6' 5""",245,Nov 22 1999,2019,rockeku01
Chris Martin,13,,us US,Pitcher,39,R,R,"6' 8""",224,Jun 2 1986,2010,martich02
Cody Bradford,14,61,us US,Pitcher,27,L,L,"6' 4""",197,Feb 22 1998,2017,bradfco01
Michel Otañez,15,,do DO,Pitcher,27,R,R,"6' 4""",237,Jul 3 1997,2016,otanemi01
Nathan Eovaldi,16,17,us US,Pitcher,35,R,R,"6' 2""",217,Feb 13 1990,2008,eovalna01
MacKenzie Gore,17,1,us US,Pitcher,26,L,L,"6' 2""",193,Feb 24 1999,2017,gorema01
Cole Winn,18,60,us US,Pitcher,25,R,R,"6' 2""",190,Nov 25 1999,2019,winnco01
Alexis Díaz,19,,pr PR,Pitcher,28,R,R,"6' 2""",224,Sep 28 1996,2015,diazal03
Jacob deGrom,20,48,us US,Pitcher,37,L,R,"6' 4""",180,Jun 19 1988,2010,degroja01
Jacob Latz,21,67,us US,Pitcher,29,R,L,"6' 2""",185,Apr 8 1996,2016,latzja01
Jakob Junis,22,,us US,Pitcher,32,R,R,"6' 3""",238,Sep 16 1992,2012,junisja01
Tyler Alexander,23,13,us US,Pitcher,30,R,L,"6' 1""",214,Jul 14 1994,2014,alexaty01
Danny Jansen,24,,us US,Position,30,R,R,"6' 1""",240,Apr 15 1995,2013,janseda01
Kyle Higashioka,25,11,us US,Position,35,R,R,"6' 0""",202,Apr 20 1990,2008,higasky01
Alejandro Osuna,26,19,mx MX,Position,22,L,L,"5' 9""",185,Oct 10 2002,2020,osunaal02
Wyatt Langford,27,36,us US,Position,23,R,R,"6' 0""",225,Nov 15 2001,2021,langfwy01
Evan Carter,28,32,us US,Position,22,L,R,"6' 3""",190,Aug 29 2002,2021,carteev01
Joc Pederson,29,4,us US,Position,33,L,L,"6' 1""",220,Apr 21 1992,2010,pederjo01
Brandon Nimmo,30,24,us US,Position,32,L,R,"6' 2""",206,Mar 27 1993,2011,nimmobr01
Corey Seager,31,5,us US,Position,31,L,R,"6' 3""",215,Apr 27 1994,2012,seageco01
Cody Freeman,32,39,us US,Position,24,R,R,"5' 8""",180,Jan 5 2001,2019,freemco01
Jake Burger,33,21,us US,Position,29,R,R,"6' 0""",230,Apr 10 1996,2015,burgeja01
Willie MacIver,34,,us US,Position,28,R,R,"6' 2""",205,Oct 28 1996,2015,macivwi01
Michael Helman,35,24,us US,Position,29,R,R,"6' 0""",195,May 23 1996,2017,helmami01
Justin Foscue,36,56,us US,Position,26,R,R,"5' 11""",205,Mar 2 1999,2018,foscuju01
Sam Haggerty,37,0,us US,Position,31,S,R,"5' 11""",175,May 26 1994,2013,haggesa01
Ezequiel Duran,38,20,do DO,Position,26,R,R,"5' 10""",185,May 22 1999,2017,duranez01
Josh Jung,39,6,us US,Position,27,R,R,"6' 1""",214,Feb 12 1998,2017,jungjo01
Josh Smith,40,8,us US,Position,27,L,R,"5' 9""",172,Aug 7 1997,2016,smithjo11
Bryce Elder,1,55,us US,Pitcher,26,R,R,"6' 2""",220,May 19 1999,2018,elderbr01
Hunter Stratton,2,65,us US,Pitcher,28,R,R,"6' 4""",225,Nov 17 1996,2017,strathu01
Spencer Strider,3,99,us US,Pitcher,26,R,R,"6' 0""",195,Oct 28 1998,2018,stridsp01
Daysbel Hernández,4,62,cu CU,Pitcher,28,R,R,"5' 10""",220,Sep 15 1996,2014,hernada03
Spencer Schwellenbach,5,56,us US,Pitcher,25,R,R,"6' 1""",200,May 31 2000,2019,schwesp01
Dylan Lee,6,52,us US,Pitcher,30,L,L,"6' 3""",214,Aug 1 1994,2015,leedy01
Joey Wentz,7,33,us US,Pitcher,27,L,L,"6' 5""",220,Oct 6 1997,2016,wentzjo01
Danny Young,8,,us US,Pitcher,31,L,L,"6' 3""",200,May 27 1994,2013,youngda02
Dylan Dodd,9,46,us US,Pitcher,27,L,L,"6' 2""",210,Jun 6 1998,2018,dodddy01
Robert Suarez,10,75,ve VE,Pitcher,34,R,R,"6' 2""",210,Mar 1 1991,2015,suarero01
José Suarez,11,,ve VE,Pitcher,27,L,L,"5' 10""",225,Jan 3 1998,2015,suarejo01
Rolddy Muñoz,12,70,do DO,Pitcher,25,R,R,"6' 2""",183,Apr 14 2000,2019,munozro02
Grant Holmes,13,66,us US,Pitcher,29,L,R,"6' 0""",226,Mar 22 1996,2014,holmegr01
Hurston Waldrep,14,64,us US,Pitcher,23,R,R,"6' 2""",210,Mar 1 2002,2021,waldrhu01
AJ Smith-Shawver,15,32,us US,Pitcher,22,R,R,"6' 3""",205,Nov 20 2002,2021,smithaj01
Tyler Kinley,16,,us US,Pitcher,34,R,R,"6' 4""",220,Jan 31 1991,2012,kinlety01
Joe Jiménez,17,77,pr PR,Pitcher,30,R,R,"6' 3""",277,Jan 17 1995,2013,jimenjo02
Ian Hamilton,18,,us US,Pitcher,30,R,R,"6' 1""",200,Jun 16 1995,2014,hamilia01
Raisel Iglesias,19,26,cu CU,Pitcher,35,R,R,"6' 2""",190,Jan 4 1990,2010,iglesra01
Reynaldo López,20,40,do DO,Pitcher,31,R,R,"6' 1""",225,Jan 4 1994,2012,lopezre01
Jhancarlos Lara,21,81,do DO,Pitcher,22,R,R,"6' 3""",190,Jan 15 2003,2022,redirect.fcgi?player=1&mlb_ID=702910
Didier Fuentes,22,75,co CO,Pitcher,20,R,R,"6' 0""",170,Jun 17 2005,2022,fuentdi01
Aaron Bummer,23,49,us US,Pitcher,31,L,L,"6' 3""",215,Sep 21 1993,2012,bummeaa01
Joel Payamps,24,,do DO,Pitcher,31,R,R,"6' 3""",214,Apr 7 1994,2011,payamjo01
Hayden Harris,25,79,us US,Pitcher,26,L,L,"6' 0""",186,Mar 2 1999,2018,harriha01
Chris Sale,26,51,us US,Pitcher,36,L,L,"6' 6""",180,Mar 30 1989,2010,salech01
Nacho Alvarez Jr.,27,24,us US,Position,22,R,R,"5' 10""",190,Apr 11 2003,2022,alvarna01
Drake Baldwin,28,30,us US,Position,24,L,R,"6' 1""",225,Mar 28 2001,2020,baldwdr01
Ha-Seong Kim,29,7,kr KR,Position,29,R,R,"5' 10""",200,Oct 17 1995,2014,kimha01
Michael Harris II,30,23,us US,Position,24,L,L,"6' 0""",195,Mar 7 2001,2019,harrimi04
Sean Murphy,31,12,us US,Position,30,R,R,"6' 3""",228,Oct 4 1994,2014,murphse01
Austin Riley,32,27,us US,Position,28,R,R,"6' 2""",225,Apr 2 1997,2015,rileyau01
Ronald Acuña Jr.,33,13,ve VE,Position,27,R,R,"6' 0""",205,Dec 18 1997,2015,acunaro01
Ozzie Albies,34,1,cw CW,Position,28,S,R,"5' 7""",165,Jan 7 1997,2014,albieoz01
Mauricio Dubón,35,,hn HN,Position,30,R,R,"6' 0""",173,Jul 19 1994,2013,dubonma01
Eli White,36,36,us US,Position,31,R,R,"6' 3""",195,Jun 26 1994,2014,whiteel04
Jorge Mateo,37,2,do DO,Position,30,R,R,"6' 1""",200,Jun 23 1995,2012,mateojo01
Matt Olson,38,28,us US,Position,31,L,R,"6' 4""",225,Mar 29 1994,2012,olsonma02
Jurickson Profar,39,17,cw CW,Position,32,S,R,"5' 11""",184,Feb 20 1993,2010,profaju01
Mike Yastrzemski,40,18,us US,Position,34,L,L,"5' 11""",180,Aug 23 1990,2010,yastrmi01
Brenan Hanifee,1,75,us US,Pitcher,27,R,R,"6' 5""",215,May 29 1998,2017,hanifbr01
Sawyer Gipson-Long,2,66,us US,Pitcher,27,R,R,"6' 4""",225,Dec 12 1997,2017,gipsosa01
Dylan Smith,3,58,us US,Pitcher,25,R,R,"6' 2""",180,May 28 2000,2019,smithdy01
Reese Olson,4,45,us US,Pitcher,25,R,R,"6' 1""",160,Jul 31 1999,2018,olsonre01
Beau Brieske,5,4,us US,Pitcher,27,R,R,"6' 3""",200,Apr 4 1998,2019,briesbe01
Ty Madden,6,36,us US,Pitcher,25,R,R,"6' 3""",215,Feb 21 2000,2019,maddety01
Bailey Horn,7,57,us US,Pitcher,27,L,L,"6' 2""",210,Jan 15 1998,2019,hornba01
Kenley Jansen,8,74,cw CW,Pitcher,37,S,R,"6' 5""",265,Sep 30 1987,2005,janseke01
Will Vest,9,19,us US,Pitcher,30,R,R,"6' 0""",180,Jun 6 1995,2014,vestwi01
Brant Hurter,10,48,us US,Pitcher,26,L,L,"6' 6""",250,Sep 6 1998,2018,hurtebr01
Troy Melton,11,52,us US,Pitcher,24,R,R,"6' 4""",210,Dec 3 2000,2019,meltotr01
Keider Montero,12,54,ve VE,Pitcher,24,R,R,"6' 1""",145,Jul 6 2000,2017,monteke01
Tarik Skubal,13,29,us US,Pitcher,28,R,L,"6' 3""",240,Nov 20 1996,2014,skubata01
Jackson Jobe,14,21,us US,Pitcher,22,R,R,"6' 2""",190,Jul 30 2002,2022,jobeja01
Tyler Holton,15,87,us US,Pitcher,29,L,L,"6' 2""",200,Jun 13 1996,2016,holtoty01
Casey Mize,16,12,us US,Pitcher,28,R,R,"6' 3""",212,May 1 1997,2016,mizeca01
Jack Flaherty,17,9,us US,Pitcher,29,R,R,"6' 4""",225,Oct 15 1995,2014,flaheja01
Drew Sommers,18,51,us US,Pitcher,24,L,L,"6' 3""",250,Aug 14 2000,2020,sommedr01
Kyle Finnegan,19,67,us US,Pitcher,33,R,R,"6' 2""",198,Sep 4 1991,2011,finneky01
Drew Anderson,20,38,us US,Pitcher,31,R,R,"6' 3""",205,Mar 22 1994,2012,anderdr02
Jake Miller,21,60,us US,Pitcher,24,L,L,"6' 2""",185,Jun 27 2001,2021,redirect.fcgi?player=1&mlb_ID=805725
Dillon Dingler,22,13,us US,Position,26,R,R,"6' 1""",210,Sep 17 1998,2018,dingldi01
Parker Meadows,23,22,us US,Position,25,L,R,"6' 5""",205,Nov 2 1999,2018,meadopa01
Colt Keith,24,33,us US,Position,23,L,R,"6' 2""",211,Aug 14 2001,2021,keithco01
Thayron Liranzo,25,49,do DO,Position,21,S,R,"6' 2""",195,Jul 5 2003,2021,redirect.fcgi?player=1&mlb_ID=699073
Trey Sweeney,26,27,us US,Position,25,L,R,"6' 3""",212,Apr 24 2000,2019,sweentr01
